synthetic_case_id,split,coverage,critical_coverage,matched_chunks,id_conflicts,amount_conflicts,date_conflicts,status_conflicts,identity_coverage,label,synthetic
SYNTHETIC-00000,train,0.7398478997553604,0.0,7.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00001,held_out_test,0.605432765908637,1.0,2.0,0.0,0.0,1.0,0.0,0.5,0,True
SYNTHETIC-00002,train,0.8827766637036374,0.0,6.0,0.0,1.0,1.0,0.0,1.0,0,True
SYNTHETIC-00003,train,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00004,held_out_test,0.7472208187483856,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00005,held_out_test,0.8458690281605015,1.0,3.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00006,train,0.4185807098317868,1.0,4.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00007,train,0.4404110301558589,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00008,train,0.6144242032393845,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00009,validation,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.5,0,True
SYNTHETIC-00010,held_out_test,0.36646704232985905,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00011,train,0.6949676930673708,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00012,validation,0.9527621279869565,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,True
SYNTHETIC-00013,validation,0.5187041593508024,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00014,train,0.8478239824113943,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00015,train,0.7786047761912521,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00016,validation,0.11407523052623977,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00017,held_out_test,0.9588384871760398,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00018,train,0.6759306912514597,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00019,train,0.6256345280072917,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00020,validation,0.9414038983353437,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00021,validation,0.539344038660442,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00022,train,0.6967137988871926,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00023,held_out_test,0.6856194684612922,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00024,validation,0.18434947383029962,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00025,train,0.7320255790789826,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00026,held_out_test,0.09555458725269937,0.0,3.0,1.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00027,validation,0.9949658957371172,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00028,validation,0.473640948743111,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00029,validation,0.7926463440947639,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00030,held_out_test,0.1535463873517613,0.0,7.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00031,validation,0.8014387135428018,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00032,train,0.1400766212246739,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00033,train,0.04966242853027187,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0,True
SYNTHETIC-00034,train,0.2792253161525289,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00035,validation,0.31543059061302553,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00036,train,0.3474728624337933,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0,True
SYNTHETIC-00037,held_out_test,0.6174347837981636,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00038,validation,0.36407747600697343,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00039,train,0.494131493362048,1.0,3.0,0.0,0.0,0.0,1.0,0.5,0,True
SYNTHETIC-00040,train,0.8396266449273482,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,True
SYNTHETIC-00041,train,0.7461788567073372,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,True
SYNTHETIC-00042,train,0.5250271952365608,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0,True
SYNTHETIC-00043,train,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0,True
SYNTHETIC-00044,validation,0.3172418095972873,1.0,7.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00045,validation,0.20055338734780806,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00046,train,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00047,held_out_test,1.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00048,held_out_test,0.2995789176357732,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00049,held_out_test,0.7492269666227472,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00050,validation,0.8764789949289054,1.0,3.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00051,train,0.6686423587872483,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00052,train,0.6117178869299146,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00053,validation,0.5580270255371613,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00054,train,0.8668442066967791,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0,True
SYNTHETIC-00055,validation,0.8277317535552011,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00056,train,0.2575044626721186,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00057,train,0.9079845012276146,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00058,train,0.8879854815796598,1.0,8.0,1.0,0.0,1.0,0.0,1.0,0,True
SYNTHETIC-00059,train,0.7995832391601622,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00060,held_out_test,1.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,0,True
SYNTHETIC-00061,train,0.08714279884191835,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0,True
SYNTHETIC-00062,train,0.2617668193299401,0.0,7.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00063,train,0.18999864099720254,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00064,held_out_test,0.06386123008092495,0.0,7.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00065,train,0.899970699826596,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0,True
SYNTHETIC-00066,train,0.25460595788451246,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00067,held_out_test,0.818233761118136,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00068,train,0.664066395988155,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00069,train,0.7526865954121579,1.0,6.0,0.0,1.0,0.0,0.0,0.5,0,True
SYNTHETIC-00070,train,0.3362590594852447,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00071,train,0.44863553540380413,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00072,held_out_test,0.003096244873030226,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00073,train,0.7634637873267818,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00074,train,0.9423197476005533,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00075,train,0.6274676400148462,1.0,5.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00076,train,0.6987071954793965,1.0,6.0,1.0,0.0,0.0,1.0,1.0,0,True
SYNTHETIC-00077,train,0.9936738978665579,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00078,train,0.6783105105511015,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0,True
SYNTHETIC-00079,held_out_test,0.7143858779073115,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00080,held_out_test,0.5058884726133119,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0,True
SYNTHETIC-00081,train,0.6178648304783702,1.0,2.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00082,train,0.6913089695458345,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00083,validation,0.6473406214897062,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00084,train,0.9325109862956589,1.0,3.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00085,train,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00086,train,0.05928493162742583,1.0,8.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00087,train,0.1726817027772063,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00088,train,0.42052667089059154,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0,True
SYNTHETIC-00089,validation,0.6997812983621451,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00090,held_out_test,0.44769567135611765,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00091,held_out_test,0.9791907707152097,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00092,train,0.986928040169356,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00093,train,0.25540352435176794,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00094,train,0.3376437236577007,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0,True
SYNTHETIC-00095,train,0.20920747088594524,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00096,validation,0.9376231557297119,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00097,train,0.015689634454323143,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00098,train,0.40871191556224495,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00099,validation,0.5350425392821665,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00100,train,0.8586025956966667,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00101,train,0.3038451375519983,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00102,validation,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00103,train,0.04622661708591,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00104,train,0.4177114999084962,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00105,validation,0.45608110748767916,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00106,train,0.436063889776753,1.0,6.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00107,train,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00108,train,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0,True
SYNTHETIC-00109,train,0.3711880578419232,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,True
SYNTHETIC-00110,train,0.5943456764407228,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00111,train,0.7580150466039032,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0,True
SYNTHETIC-00112,train,0.7318057256366414,1.0,8.0,0.0,1.0,0.0,0.0,1.0,0,True
SYNTHETIC-00113,train,0.7779829130090717,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00114,held_out_test,0.4873348228886197,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00115,train,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00116,train,0.8762478904000215,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00117,held_out_test,0.7912357793483755,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00118,train,0.7242385127061574,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00119,train,0.7368559027459929,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00120,held_out_test,0.9046150798045018,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00121,validation,0.7514007055172834,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0,True
SYNTHETIC-00122,validation,0.8885629926920753,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00123,train,0.42882123999895316,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0,True
SYNTHETIC-00124,held_out_test,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00125,train,0.897955826003268,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00126,train,0.045815331870733896,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00127,validation,0.21135534298132536,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00128,train,0.8248975272641182,1.0,4.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00129,train,0.32810711872491255,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00130,validation,0.24287937389685887,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00131,train,0.2654560720851692,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00132,train,0.5328445242051462,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00133,train,0.8743172769940438,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00134,train,0.9447759689464184,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00135,train,0.8636182965480735,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00136,train,0.06063631984451015,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0,True
SYNTHETIC-00137,held_out_test,0.44766839206866715,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00138,held_out_test,0.589824344363678,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0,True
SYNTHETIC-00139,train,0.5291977023632087,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00140,train,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.5,0,True
SYNTHETIC-00141,train,0.4476203016449426,1.0,8.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00142,held_out_test,0.677417443215812,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0,True
SYNTHETIC-00143,train,0.16427212259532872,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00144,train,0.05496739745723503,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0,True
SYNTHETIC-00145,train,0.3478294323910375,1.0,3.0,1.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00146,held_out_test,0.3717386571141475,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0,True
SYNTHETIC-00147,train,0.7829135444155582,1.0,3.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00148,validation,0.9509025061389363,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00149,validation,0.5940554509441814,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0,True
SYNTHETIC-00150,train,0.17708977106920468,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00151,held_out_test,0.5363101516642144,1.0,7.0,1.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00152,train,0.5873458461299363,1.0,8.0,0.0,0.0,0.0,0.0,0.5,0,True
SYNTHETIC-00153,train,1.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0,True
SYNTHETIC-00154,validation,0.30101221394109995,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00155,train,0.4375710769371832,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0,True
SYNTHETIC-00156,validation,0.3555687892905691,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00157,train,0.6178383397071735,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,True
SYNTHETIC-00158,validation,0.7401232483998504,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0,True
SYNTHETIC-00159,train,0.6945445863001811,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,True
